Pressure,Temperature,Density,Enthalpy,Internal Energy,Gibbs Energy,Entropy,Molecular Mass,Specific Heat Capacity,Sound Speed,Viscosity,Thermal Conductivity,Prandtl Number
0.2,200,0.529,-9020,-9060,-9990,4.85,44,0.735,226,0.101,0.0955,0.776
0.2,300,0.353,-8940,-9000,-10500,5.17,44,0.846,270,0.15,0.166,0.764
0.2,400,0.265,-8850,-8930,-11000,5.42,44,0.939,308,0.197,0.246,0.753
0.2,500,0.212,-8750,-8850,-11600,5.64,44,1.01,341,0.24,0.326,0.748
0.2,600,0.176,-8650,-8760,-12100,5.83,44,1.08,371,0.28,0.403,0.746
0.2,700,0.151,-8540,-8670,-12700,6,44,1.13,399,0.317,0.478,0.746
0.2,800,0.132,-8420,-8570,-13300,6.15,44,1.17,425,0.351,0.548,0.748
0.2,900,0.118,-8300,-8470,-14000,6.29,44,1.2,449,0.383,0.616,0.749
0.2,1000,0.106,-8180,-8370,-14600,6.42,44,1.23,472,0.413,0.68,0.75
0.2,1100,0.0962,-8060,-8270,-15300,6.54,44,1.26,494,0.442,0.741,0.752
0.2,1200,0.0882,-7930,-8160,-15900,6.65,44,1.28,516,0.47,0.801,0.752
0.2,1300,0.0814,-7800,-8050,-16600,6.76,44,1.3,536,0.497,0.861,0.752
0.2,1400,0.0756,-7670,-7930,-17300,6.85,44,1.33,555,0.523,0.926,0.75
0.2,1500,0.0706,-7540,-7820,-18000,6.95,44,1.37,574,0.548,1,0.746
0.2,1600,0.0661,-7400,-7700,-18700,7.04,44,1.43,591,0.573,1.11,0.738
0.2,1700,0.0622,-7250,-7570,-19400,7.13,43.9,1.52,608,0.597,1.26,0.725
0.2,1800,0.0586,-7090,-7430,-20100,7.22,43.8,1.68,624,0.621,1.48,0.707
0.2,1900,0.0553,-6910,-7270,-20800,7.31,43.7,1.92,639,0.645,1.81,0.687
0.2,2000,0.0523,-6700,-7080,-21500,7.42,43.4,2.27,654,0.669,2.28,0.668
0.2,2100,0.0493,-6450,-6860,-22300,7.54,43.1,2.74,671,0.694,2.92,0.652
0.2,2200,0.0465,-6150,-6580,-23100,7.68,42.5,3.36,689,0.72,3.77,0.641
0.2,2300,0.0437,-5770,-6230,-23800,7.85,41.8,4.12,709,0.747,4.84,0.637
0.2,2400,0.0409,-5320,-5810,-24600,8.04,40.8,5.01,732,0.776,6.09,0.638
0.2,2500,0.0381,-4770,-5300,-25400,8.27,39.6,5.98,758,0.805,7.48,0.644
0.2,2600,0.0353,-4120,-4690,-26300,8.52,38.1,6.99,788,0.836,8.94,0.653
0.2,2700,0.0326,-3370,-3990,-27100,8.8,36.6,7.94,821,0.866,10.4,0.664
0.2,2800,0.03,-2540,-3200,-28000,9.11,34.9,8.78,856,0.896,11.7,0.674
0.2,2900,0.0276,-1620,-2350,-29000,9.43,33.2,9.46,895,0.926,12.9,0.681
0.2,3000,0.0253,-650,-1440,-29900,9.76,31.6,9.95,935,0.955,13.8,0.688
0.2,3100,0.0233,362,-497,-30900,10.1,30,10.3,978,0.983,14.5,0.694
0.2,3200,0.0215,1390,463,-31900,10.4,28.6,10.4,1020,1.01,14.9,0.703
0.2,3300,0.0199,2420,1420,-33000,10.7,27.2,10.2,1060,1.04,14.8,0.715
0.2,3400,0.0184,3420,2330,-34100,11,26.1,9.67,1110,1.07,14.1,0.733
0.2,3500,0.0172,4350,3180,-35200,11.3,25.1,8.8,1150,1.09,12.8,0.752
0.2,3600,0.0162,5170,3940,-36300,11.5,24.3,7.66,1190,1.12,11.1,0.772
0.2,3700,0.0154,5870,4570,-37500,11.7,23.6,6.4,1230,1.15,9.31,0.787
0.2,3800,0.0147,6450,5090,-38700,11.9,23.2,5.2,1270,1.17,7.64,0.797
0.2,3900,0.0141,6920,5500,-39900,12,22.8,4.17,1300,1.2,6.24,0.799
0.2,4000,0.0136,7290,5820,-41100,12.1,22.6,3.37,1340,1.22,5.17,0.795
0.2,4100,0.0131,7600,6080,-42300,12.2,22.4,2.78,1370,1.24,4.39,0.787
0.2,4200,0.0128,7850,6290,-43500,12.2,22.3,2.35,1410,1.27,3.85,0.776
0.2,4300,0.0124,8070,6460,-44700,12.3,22.2,2.06,1440,1.29,3.48,0.764
0.2,4400,0.0121,8270,6620,-46000,12.3,22.2,1.85,1470,1.32,3.24,0.753
0.2,4500,0.0118,8450,6760,-47200,12.4,22.1,1.72,1500,1.34,3.09,0.744
0.2,4600,0.0116,8610,6880,-48500,12.4,22.1,1.63,1520,1.36,3,0.736
0.2,4700,0.0113,8770,7000,-49700,12.4,22.1,1.57,1540,1.38,2.98,0.73
0.2,4800,0.011,8930,7120,-50900,12.5,22,1.54,1560,1.41,3,0.725
0.2,4900,0.0108,9080,7230,-52200,12.5,22,1.55,1580,1.43,3.07,0.72
0.2,5000,0.0106,9240,7350,-53400,12.5,22,1.58,1590,1.45,3.2,0.715
0.2,5100,0.0104,9400,7470,-54700,12.6,22,1.65,1600,1.47,3.43,0.709
0.2,5200,0.0102,9570,7600,-56000,12.6,22,1.77,1600,1.5,3.77,0.704
0.2,5300,0.00997,9760,7750,-57200,12.6,22,1.97,1600,1.52,4.28,0.699
0.2,5400,0.00977,9970,7920,-58500,12.7,21.9,2.26,1600,1.54,5.04,0.692
0.2,5500,0.00957,10200,8120,-59800,12.7,21.9,2.69,1600,1.56,6.12,0.686
0.2,5600,0.00937,10500,8380,-61000,12.8,21.8,3.29,1600,1.58,7.65,0.682
0.2,5700,0.00916,10900,8700,-62300,12.8,21.7,4.11,1600,1.61,9.72,0.679
0.2,5800,0.00895,11300,9110,-63600,12.9,21.6,5.2,1610,1.63,12.4,0.68
0.2,5900,0.00872,11900,9640,-64900,13,21.4,6.57,1620,1.65,15.8,0.685
0.2,6000,0.00848,12700,10300,-66200,13.1,21.2,8.24,1630,1.67,19.9,0.693
0.2,6100,0.00822,13600,11200,-67500,13.3,20.8,10.2,1650,1.69,24.4,0.705
0.2,6200,0.00794,14700,12200,-68900,13.5,20.5,12.2,1680,1.72,29.1,0.722
0.2,6300,0.00765,16000,13400,-70200,13.7,20,14.4,1710,1.74,33.7,0.741
0.2,6400,0.00735,17600,14800,-71600,13.9,19.5,16.3,1750,1.76,37.6,0.764
0.2,6500,0.00704,19300,16400,-73000,14.2,19,17.9,1780,1.78,40.5,0.789
0.2,6600,0.00674,21100,18200,-74400,14.5,18.5,19.1,1820,1.81,42.2,0.815
0.2,6700,0.00645,23100,20000,-75900,14.8,18,19.6,1870,1.83,42.5,0.84
0.2,6800,0.00617,25000,21800,-77400,15.1,17.5,19.4,1910,1.85,41.6,0.864
0.2,6900,0.00592,26900,23600,-78900,15.3,17,18.7,1950,1.87,39.6,0.884
0.2,7000,0.00569,28800,25300,-80500,15.6,16.6,17.5,1990,1.89,36.8,0.9
0.2,7100,0.00549,30400,26800,-82000,15.8,16.2,16,2030,1.91,33.6,0.91
0.2,7200,0.00531,32000,28200,-83600,16.1,15.9,14.4,2070,1.93,30.3,0.915
0.2,7300,0.00515,33300,29400,-85200,16.2,15.6,12.7,2110,1.94,27.2,0.912
0.2,7400,0.00501,34500,30500,-86900,16.4,15.4,11.2,2150,1.96,24.4,0.903
0.2,7500,0.00488,35600,31500,-88500,16.5,15.2,9.85,2180,1.98,22,0.888
0.2,7600,0.00477,36500,32300,-90200,16.7,15.1,8.69,2220,2,20,0.868
0.2,7700,0.00467,37300,33000,-91900,16.8,14.9,7.73,2250,2.02,18.5,0.844
0.2,7800,0.00457,38000,33700,-93500,16.9,14.8,6.96,2280,2.03,17.3,0.818
0.2,7900,0.00449,38700,34300,-95200,17,14.7,6.37,2310,2.05,16.5,0.791
0.2,8000,0.0044,39300,34800,-96900,17,14.6,5.93,2340,2.06,16,0.765
0.2,8100,0.00433,39900,35300,-98600,17.1,14.6,5.61,2370,2.08,15.7,0.741
0.2,8200,0.00426,40500,35800,-100000,17.2,14.5,5.4,2390,2.09,15.7,0.719
0.2,8300,0.00419,41000,36200,-102000,17.2,14.4,5.28,2420,2.11,15.9,0.701
0.2,8400,0.00412,41500,36700,-104000,17.3,14.4,5.23,2440,2.12,16.2,0.685
0.2,8500,0.00405,42000,37100,-106000,17.4,14.3,5.24,2460,2.13,16.6,0.672
0.2,8600,0.00399,42600,37500,-107000,17.4,14.3,5.31,2480,2.14,17.2,0.661
0.2,8700,0.00393,43100,38000,-109000,17.5,14.2,5.42,2500,2.15,17.9,0.652
0.2,8800,0.00386,43600,38500,-111000,17.5,14.1,5.56,2510,2.16,18.6,0.645
0.2,8900,0.0038,44200,39000,-113000,17.6,14.1,5.74,2530,2.17,19.5,0.639
0.2,9000,0.00374,44800,39500,-114000,17.7,14,5.94,2550,2.18,20.4,0.635
0.2,9100,0.00368,45400,40000,-116000,17.7,13.9,6.17,2570,2.18,21.4,0.631
0.2,9200,0.00363,46000,40500,-118000,17.8,13.9,6.42,2580,2.19,22.4,0.628
0.2,9300,0.00357,46700,41100,-120000,17.9,13.8,6.69,2600,2.19,23.4,0.625
0.2,9400,0.00351,47400,41700,-121000,18,13.7,6.97,2620,2.19,24.5,0.623
0.2,9500,0.00345,48100,42300,-123000,18,13.6,7.26,2640,2.2,25.7,0.621
0.2,9600,0.0034,48800,42900,-125000,18.1,13.6,7.57,2660,2.2,26.8,0.62
0.2,9700,0.00334,49600,43600,-127000,18.2,13.5,7.89,2680,2.19,28,0.618
0.2,9800,0.00329,50400,44300,-129000,18.3,13.4,8.22,2700,2.19,29.2,0.617
0.2,9900,0.00323,51200,45000,-130000,18.4,13.3,8.56,2720,2.19,30.4,0.616
